id,producto,marca,categoria,peso_kg,mes,asesor,zona,unidades_vendidas,precio_unitario_cop,ingresos_cop,devoluciones,costo_cop,ganancia_cop
52,Leche UHT 1L,FrescoCampo,Lacteos,1.03,Enero,Laura P.,Sur,280,4100,1148000,10,840000,308000
53,Leche UHT 1L,FrescoCampo,Lacteos,1.03,Febrero,Laura P.,Sur,310,4100,1271000,8,930000,341000
54,Leche UHT 1L,FrescoCampo,Lacteos,1.03,Marzo,Laura P.,Sur,295,4100,1209500,12,885000,324500
55,Aceite Palma 1L,PanAndino,Aceites,0.92,Enero,Andrés R.,Oriente,195,7800,1521000,7,780000,741000
56,Aceite Palma 1L,PanAndino,Aceites,0.92,Febrero,Andrés R.,Oriente,230,7800,1794000,10,920000,874000
57,Aceite Palma 1L,PanAndino,Aceites,0.92,Marzo,Andrés R.,Oriente,215,7800,1677000,8,860000,817000
58,Lenteja 500g,FrescoCampo,Granos,0.50,Enero,Diana V.,Occidente,260,3200,832000,9,520000,312000
59,Lenteja 500g,FrescoCampo,Granos,0.50,Febrero,Diana V.,Occidente,295,3200,944000,12,590000,354000
60,Lenteja 500g,FrescoCampo,Granos,0.50,Marzo,Diana V.,Occidente,278,3200,889600,10,556000,333600
61,Jabón de Baño x3,CasaFeliz,Aseo,0.36,Enero,Miguel S.,Norte,410,8200,3362000,15,1640000,1722000
62,Jabón de Baño x3,CasaFeliz,Aseo,0.36,Febrero,Miguel S.,Norte,455,8200,3731000,18,1820000,1911000
63,Jabón de Baño x3,CasaFeliz,Aseo,0.36,Marzo,Miguel S.,Norte,430,8200,3526000,14,1720000,1806000
64,Desodorante 150ml,CasaFeliz,Cuidado Personal,0.15,Enero,Sofia L.,Sur,320,9800,3136000,11,1280000,1856000
65,Desodorante 150ml,CasaFeliz,Cuidado Personal,0.15,Febrero,Sofia L.,Sur,355,9800,3479000,13,1420000,2059000
66,Desodorante 150ml,CasaFeliz,Cuidado Personal,0.15,Marzo,Sofia L.,Sur,338,9800,3312400,10,1352000,1960400
67,Pasta de Dientes,CasaFeliz,Cuidado Personal,0.18,Enero,Ricardo B.,Oriente,280,7500,2100000,9,840000,1260000
68,Pasta de Dientes,CasaFeliz,Cuidado Personal,0.18,Febrero,Ricardo B.,Oriente,310,7500,2325000,11,930000,1395000
69,Pasta de Dientes,CasaFeliz,Cuidado Personal,0.18,Marzo,Ricardo B.,Oriente,295,7500,2212500,8,885000,1327500
70,Maíz Pira 200g,FrescoCampo,Granos,0.20,Enero,Valentina C.,Occidente,190,4200,798000,7,380000,418000
71,Maíz Pira 200g,FrescoCampo,Granos,0.20,Febrero,Valentina C.,Occidente,215,4200,903000,9,430000,473000
72,Maíz Pira 200g,FrescoCampo,Granos,0.20,Marzo,Valentina C.,Occidente,202,4200,848400,8,404000,444400
